"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from daily flask and in situ (continuous) data. "
" La Jolla Pier, California: Latitude 32.9N Longitude 117.3W Elevation 10m                  "
"  In situ data is sporadically used only during a limited time period from 1957 to 1962"
"  Outside this period, the record is entirely flask-based"
"                                                                                           "
" Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                   "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and            "
" and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                    "
"                                                                                           "
" Flask data in this file through 12-Jun-2020 last updated 26-Jun-2020                      "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2008A SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '08A' calibration scale                            "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1957, 01,   20835, 1957.0411,   -99.99,   -99.99,     314.48,   313.01,     314.48,   313.01
1957, 02,   20866, 1957.1260,   -99.99,   -99.99,     314.97,   313.13,     314.97,   313.13
1957, 03,   20894, 1957.2027,   315.45,   313.30,     315.40,   313.25,     315.45,   313.30
1957, 04,   20925, 1957.2877,   315.74,   313.01,     316.10,   313.37,     315.74,   313.01
1957, 05,   20955, 1957.3699,   315.84,   313.02,     316.31,   313.49,     315.84,   313.02
1957, 06,   20986, 1957.4548,   315.28,   314.09,     314.81,   313.62,     315.28,   314.09
1957, 07,   21016, 1957.5370,   -99.99,   -99.99,     311.66,   313.74,     311.66,   313.74
1957, 08,   21047, 1957.6219,   309.28,   313.99,     309.14,   313.86,     309.28,   313.99
1957, 09,   21078, 1957.7068,   309.95,   314.12,     309.81,   313.98,     309.95,   314.12
1957, 10,   21108, 1957.7890,   312.71,   314.54,     312.26,   314.09,     312.71,   314.54
1957, 11,   21139, 1957.8740,   -99.99,   -99.99,     314.13,   314.20,     314.13,   314.20
1957, 12,   21169, 1957.9562,   -99.99,   -99.99,     315.12,   314.30,     315.12,   314.30
1958, 01,   21200, 1958.0411,   -99.99,   -99.99,     315.90,   314.41,     315.90,   314.41
1958, 02,   21231, 1958.1260,   -99.99,   -99.99,     316.36,   314.51,     316.36,   314.51
1958, 03,   21259, 1958.2027,   -99.99,   -99.99,     316.77,   314.60,     316.77,   314.60
1958, 04,   21290, 1958.2877,   316.44,   313.69,     317.44,   314.69,     316.44,   313.69
1958, 05,   21320, 1958.3699,   317.60,   314.76,     317.62,   314.78,     317.60,   314.76
1958, 06,   21351, 1958.4548,   -99.99,   -99.99,     316.07,   314.87,     316.07,   314.87
1958, 07,   21381, 1958.5370,   313.44,   315.54,     312.84,   314.94,     313.44,   315.54
1958, 08,   21412, 1958.6219,   310.59,   315.36,     310.25,   315.02,     310.59,   315.36
1958, 09,   21443, 1958.7068,   311.09,   315.31,     310.86,   315.08,     311.09,   315.31
1958, 10,   21473, 1958.7890,   312.77,   314.62,     313.29,   315.14,     312.77,   314.62
1958, 11,   21504, 1958.8740,   315.62,   315.69,     315.12,   315.19,     315.62,   315.69
1958, 12,   21534, 1958.9562,   316.46,   315.63,     316.07,   315.24,     316.46,   315.63
1959, 01,   21565, 1959.0411,   317.22,   315.72,     316.79,   315.28,     317.22,   315.72
1959, 02,   21596, 1959.1260,   316.75,   314.87,     317.20,   315.33,     316.75,   314.87
1959, 03,   21624, 1959.2027,   317.65,   315.45,     317.56,   315.36,     317.65,   315.45
1959, 04,   21655, 1959.2877,   317.39,   314.61,     318.19,   315.41,     317.39,   314.61
